Company Name,Matched Name,Financial Year,Report End Year,Company Status,Failure Reason,Attempted URLs
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2016-17,2017,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220317.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2017.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2017.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2017.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2017-18,2018,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220318.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2018/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2018.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2018/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2018.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2018/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2018.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2018-19,2019,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220319.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2019/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2019.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2019/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2019.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2019/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2019.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2019-20,2020,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220320.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2020/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2020.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2020/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2020.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2020/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2020.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2020-21,2021,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/69699590122.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2021/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2021.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2021/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2021.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2021/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2021.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2021-22,2022,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/74205590122.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2022/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2022.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2022/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2022.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2022/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2022.PDF
Assam Entrade Ltd.,Assam Entrade Ltd,FY2013-14,2014,SUCCESS,HTTP 404 on candidate; tried alternate source,http://www.assamentrade.com/wp-content/uploads/2015/10/Annual-Report-2013-2014.pdf
Baid Finserv Ltd.,Baid Finserv Ltd,,,TIMEOUT,company budget exhausted,
Bervin Investment & Leasing Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
Bharti Telecom Ltd.,Bharti Telecom Ltd,,,UNRESOLVED,No annual-report candidates discovered,
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2011-12,2012,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_CONSOFINVT_2011_2012_31122012034242.zip
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2012-13,2013,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_1858_CONSOFINVT_2012_2013_12112013144107.zip
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2013-14,2014,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_4622_CONSOFINVT_2013_2014_01092014120347.zip
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2014-15,2015,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_8653_CONSOFINVT_2014_2015_14102015130014.zip
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2015-16,2016,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_10472_CONSOFINVT_2015_2016_10102016100427.zip
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2016-17,2017,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_12183_CONSOFINVT_2016_2017_12102017154632.zip
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd,FY2017-18,2018,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_14380_CONSOFINVT_2017_2018_23102018105306.zip
